Video ID,Playlist Video Creation Timestamp
a2RA0vsZXf8,2017-04-12T07:31:49+00:00
dT2owtxkU8k,2017-07-07T06:21:48+00:00
MklKTJ5JoKg,2017-07-07T06:22:27+00:00
rGlEZpOVjGo,2017-07-07T06:23:04+00:00
ktlQrO2Sifg,2017-07-07T06:23:15+00:00
Hv5hxaQzAds,2017-07-07T06:23:30+00:00
rSMY2CVjCZA,2017-07-07T06:24:25+00:00
Kn8y-awc5cY,2017-07-07T06:25:10+00:00
gGgakt3niys,2017-07-07T06:25:58+00:00
DWArqYDmK1s,2017-07-07T06:26:03+00:00
R0n8c4z3lWk,2017-07-07T06:26:22+00:00
4UYanaMUuZY,2017-07-07T06:26:36+00:00
KYGHN3-NkvE,2017-07-07T06:28:51+00:00
5-uXzOW6SLo,2017-07-07T06:28:26+00:00
tYNURN4kwIs,2017-07-07T06:30:30+00:00
gErFEyZxYZ0,2017-07-07T06:30:41+00:00
wPZ5WFNYveM,2017-07-07T06:31:37+00:00
vbYB4rddM-8,2017-07-07T06:33:06+00:00
9MErCre5Pjg,2017-07-07T06:33:30+00:00
0VpzH-X9XME,2017-07-07T06:33:54+00:00
mNJt5WVzdcs,2017-07-07T06:34:00+00:00
9_6HNNDvwkE,2017-07-07T06:38:03+00:00
nBmNcLBaPUE,2017-07-22T07:06:34+00:00
8j741TUIET0,2017-07-22T07:06:49+00:00
Kpk9PfOVFQk,2017-07-23T04:18:24+00:00
Mdh2p03cRfw,2017-07-23T04:18:46+00:00
raLctyXk58U,2017-09-02T23:01:39+00:00





