Channel Id,Channel Url,Channel Title
UC-A4oZF4AlOEdlyZWBCI0cQ,http://www.youtube.com/channel/UC-A4oZF4AlOEdlyZWBCI0cQ,JustKiddingFilms
UC0VVYtw21rg2cokUystu2Dw,http://www.youtube.com/channel/UC0VVYtw21rg2cokUystu2Dw,SmallAnt
UC1AF9_EAuJSgMmqd1TTiVTQ,http://www.youtube.com/channel/UC1AF9_EAuJSgMmqd1TTiVTQ,MCU(MOVIES CINEMATIC UNIVERSE)
UC1B3dGJReX_5F6rmgZS_o7Q,http://www.youtube.com/channel/UC1B3dGJReX_5F6rmgZS_o7Q,Surfaces
UC2GnuulpFRtTGFNuS1LKL5g,http://www.youtube.com/channel/UC2GnuulpFRtTGFNuS1LKL5g,BuzzFeedViolet
UC35HKvKYPkri4Grd5KXl3wQ,http://www.youtube.com/channel/UC35HKvKYPkri4Grd5KXl3wQ,Lilifilm Official
UC3N-rumPZ_LUphHFN-87q0Q,http://www.youtube.com/channel/UC3N-rumPZ_LUphHFN-87q0Q,OliWhiteVlogs
UC3sznuotAs2ohg_U__Jzj_Q,http://www.youtube.com/channel/UC3sznuotAs2ohg_U__Jzj_Q,The Film Theorists
UC415bOPUcGSamy543abLmRA,http://www.youtube.com/channel/UC415bOPUcGSamy543abLmRA,Cleo Abram
UC4PooiX37Pld1T8J5SYT-SQ,http://www.youtube.com/channel/UC4PooiX37Pld1T8J5SYT-SQ,Good Mythical Morning
UC4PsLuB0agoria9USiSPXtQ,http://www.youtube.com/channel/UC4PsLuB0agoria9USiSPXtQ,alisonlisset
UC4jh0TnRA3ZHtbVnG9uDoFQ,http://www.youtube.com/channel/UC4jh0TnRA3ZHtbVnG9uDoFQ,Hello Vee
UC5v2QgY2D5tlu8uws23MG4Q,http://www.youtube.com/channel/UC5v2QgY2D5tlu8uws23MG4Q,iiTzTimmy
UC62oK4gTQtOE4DvAFbFlt9Q,http://www.youtube.com/channel/UC62oK4gTQtOE4DvAFbFlt9Q,Shortcat
UC6nSFpj9HTCZ5t-N3Rm3-HA,http://www.youtube.com/channel/UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce
UC768XN2ZjMYtNsPT6hcvbCA,http://www.youtube.com/channel/UC768XN2ZjMYtNsPT6hcvbCA,Dana ASMR
UC7BhHN8NyMMru2RUygnDXSg,http://www.youtube.com/channel/UC7BhHN8NyMMru2RUygnDXSg,Sciencephile the AI
UC7FRe3cnEw6eaRTVWUmLKmA,http://www.youtube.com/channel/UC7FRe3cnEw6eaRTVWUmLKmA,DokkaBass
UC7dF9qfBMXrSlaaFFDvV_Yg,http://www.youtube.com/channel/UC7dF9qfBMXrSlaaFFDvV_Yg,Gigguk
UC8-Th83bH_thdKZDJCrn88g,http://www.youtube.com/channel/UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon
UCA2tt9GSU2sl8rAqjlLR3mQ,http://www.youtube.com/channel/UCA2tt9GSU2sl8rAqjlLR3mQ,GeorgeNotFound
UCBUVGPsJzc1U8SECMgBaMFw,http://www.youtube.com/channel/UCBUVGPsJzc1U8SECMgBaMFw,BuzzFeed Multiplayer
UCBo1hnzxV9rz3WVsv__Rn1g,http://www.youtube.com/channel/UCBo1hnzxV9rz3WVsv__Rn1g,Rosesarerosie
UCC552Sd-3nyi_tk2BudLUzA,http://www.youtube.com/channel/UCC552Sd-3nyi_tk2BudLUzA,AsapSCIENCE
UCDECmyD5ErLETBe2JJ84v1g,http://www.youtube.com/channel/UCDECmyD5ErLETBe2JJ84v1g,ApicalShark
UCDsO-0Yo5zpJk575nKXgMVA,http://www.youtube.com/channel/UCDsO-0Yo5zpJk575nKXgMVA,RocketJump
UCEJ86ogmDa_Mf0PpBIz2Nlg,http://www.youtube.com/channel/UCEJ86ogmDa_Mf0PpBIz2Nlg,NikitaWK
UCEikOr4uF0x7hbITxBw8cWw,http://www.youtube.com/channel/UCEikOr4uF0x7hbITxBw8cWw,buffcorrell
UCFAiFyGs6oDiF1Nf-rRJpZA,http://www.youtube.com/channel/UCFAiFyGs6oDiF1Nf-rRJpZA,Technoblade
UCFDxyA1H3VEN0VQwfMe2VMQ,http://www.youtube.com/channel/UCFDxyA1H3VEN0VQwfMe2VMQ,Gawx Art
UCFHg8Ks76oThmAaR2zFTS2w,http://www.youtube.com/channel/UCFHg8Ks76oThmAaR2zFTS2w,Double
UCFKDEp9si4RmHFWJW1vYsMA,http://www.youtube.com/channel/UCFKDEp9si4RmHFWJW1vYsMA,EthosLab
UCFmL725KKPx2URVPvH3Gp8w,http://www.youtube.com/channel/UCFmL725KKPx2URVPvH3Gp8w,ASMR Glow
